County,CountyFIPS,Age Group (5-year),Age Sorting Variable,Sex,Total Population 2020,Total Population 2021,Total Population 2022,Total Population 2023,Total Population 2024,Total Population 2025
Chelan,7,20-24,5,Male,2279,2355.23,2271.26,2322.15,2339.82,2393.41
Chelan,7,20-24,5,Female,2086,2195.12,2142.08,2164.49,2222.17,2292.38
Chelan,7,25-29,6,Female,2142,2102.66,2095.82,2081.42,2156.84,2240.8
Chelan,7,25-29,6,Male,2409,2385.07,2367.21,2374.34,2395.56,2449.7
Chelan,7,30-34,7,Male,2458,2597.85,2662.39,2693.97,2699.77,2701.92
Chelan,7,30-34,7,Female,2404,2438.78,2432.27,2424.64,2407.72,2394.64
Chelan,7,35-39,8,Male,2514,2653.61,2727.07,2783.89,2813.79,2822.67
Chelan,7,35-39,8,Female,2505,2598.04,2638.75,2675.33,2699.34,2683.47
Chelan,7,45-49,10,Male,2198,2221.69,2268.17,2365.83,2441.15,2532.48
Chelan,7,45-49,10,Female,2211,2222.28,2278.04,2377.12,2460.18,2501.44
Chelan,7,50-54,11,Male,2265,2275.09,2316.97,2316.79,2325.2,2319.63
Chelan,7,50-54,11,Female,2234,2220.57,2253.24,2246.26,2225.9,2239.29
Chelan,7,55-59,12,Male,2510,2463.36,2435.12,2412.69,2397.65,2393.68
Chelan,7,55-59,12,Female,2645,2544.62,2458.42,2369.44,2328.3,2294.63
Chelan,7,60-64,13,Male,2763,2721.03,2706.14,2666.18,2628.87,2580.7
Chelan,7,60-64,13,Female,2911,2877.63,2859.88,2841.22,2787.58,2717.18
Chelan,7,65-69,14,Female,2692,2766.08,2838.58,2907.46,2931.24,2944.86
Chelan,7,65-69,14,Male,2640,2700.96,2751.34,2813.98,2826.45,2771.51
Chelan,7,70-74,15,Male,2024,2135.66,2245.83,2338.46,2446.75,2509.86
Chelan,7,70-74,15,Female,2178,2253.03,2338.19,2406.3,2508.44,2580.7
Chelan,7,75-79,16,Male,1361,1425.6,1517.46,1600.15,1677.38,1776.29
Chelan,7,75-79,16,Female,1484,1554.69,1646.44,1761.94,1859.86,1952.63
Chelan,7,80-84,17,Female,1032,1048.18,1078.04,1107.57,1158.3,1214.29
Chelan,7,80-84,17,Male,855.000054,881.8358917,916.9236426,965.9893326,1017.92,1061.33
Chelan,7,40-44,18,Female,2392,2494.65,2571.02,2637.79,2707.43,2732.1
Chelan,7,85+,18,Female,1241,1221.44,1200.77,1195.91,1206.77,1227.45
Chelan,7,40-44,18,Male,2289,2458.71,2605.54,2692.1,2789.59,2835.72
Chelan,7,85+,18,Male,759.000048,763.0086444,761.6202337,766.5500355,791.8864049,825.81
Clallam,9,0-4,1,Female,1540,1520.42,1488.94,1425.64,1375.87,1348.73
Clallam,9,0-4,1,Male,1574,1568.15,1567.19,1514.11,1464.06,1430.91
Clallam,9,9-May,2,Male,1908,1857.1,1802.16,1736.87,1677.65,1637.92
Clallam,9,9-May,2,Female,1691,1667.58,1650.85,1628.41,1610.32,1604.38
Clallam,9,14-Oct,3,Female,1749,1749.37,1759.57,1759.38,1756.1,1746.34
Clallam,9,14-Oct,3,Male,1903,1928.02,1955.01,1976.45,1981.87,1967.12
Clallam,9,15-19,4,Male,1827,1836.9,1804.31,1825.71,1853.09,1885.03
Clallam,9,15-19,4,Female,1677,1708.52,1681.27,1707.81,1725.09,1734.2
Clallam,9,20-24,5,Female,1420,1481.63,1448.36,1497.52,1520.54,1575.95
Clallam,9,20-24,5,Male,1736,1801.37,1740.44,1742.71,1738.09,1767.29
Clallam,9,25-29,6,Male,1888,1810.81,1703.35,1689.87,1704.39,1806.16
Clallam,9,25-29,6,Female,1615,1554.5,1523.31,1506.5,1510.61,1563.08
Clallam,9,30-34,7,Female,1978,2008.86,1987.84,1941.43,1909.54,1862.84
Clallam,9,30-34,7,Male,2059,2064.68,1967.64,1958.19,1927.35,1896.36
Clallam,9,35-39,8,Female,1990,2075.37,2129.17,2171.52,2217.53,2165.01
Clallam,9,35-39,8,Male,2230,2231.79,2166.45,2145.54,2148.53,2137.72
Clallam,9,45-49,10,Male,1821,1797.84,1787.73,1826.84,1876.46,1973.23
Clallam,9,45-49,10,Female,1836,1816.85,1848.58,1867.71,1920.73,1966.78
Clallam,9,50-54,11,Female,2016,1991.37,1984.73,1995.58,1976.29,1929.65
Clallam,9,50-54,11,Male,1938,1905.14,1872,1853.79,1835.67,1809.58
Clallam,9,55-59,12,Male,2450,2326.84,2194.14,2088.66,2028.82,1971.93
Clallam,9,55-59,12,Female,2895,2776.98,2594.24,2468.63,2348.34,2191.22
Clallam,9,60-64,13,Female,3704,3607.74,3564.41,3495.65,3418.02,3260.09
